00576224	84db8fc4
009d5c81	4e45f183
00d62c1b	ba97ae07
00dbd492	91413438
017c7c7b	4c4377d9
017c7c7b	ce039d91
0520fde7	4acc7107
0520fde7	7468f01a
05f2a901	8a004b2b
05f2a901	9f236235
0607ce86	d94c3b52
0692e18c	239be575
08ed6ac7	5521c0d9
08ed6ac7	fd096ab6
09629e4f	66e6c45b
0962bcdd	36fdfd69
0962bcdd	57aa92db
0a1d4ef5	44f52bb0
0b148d64	5b6cbef5
0b17323b	0f63c0b9
0bb8deee	7953d61e
0bb8deee	bdad9b1f
0becf7df	cb227835
0becf7df	d931c21c
0c786b71	bb52a14b
0ca9ddb6	140c817e
0ca9ddb6	7e02026e
0ca9ddb6	ff72ca3e
0d3d703e	642d658d
0d3d703e	dc1df850
0d87d2a6	6ecd11f4
0e671a1a	75b8110e
103eff5b	59341089
103eff5b	cb227835
11852cab	67e8384a
1190e5a7	281123b4
12422b43	5c0a986e
12997ef3	539a4f51
12eac192	ce039d91
12eac192	d9fac9be
13713586	42a15761
137eaa0f	41e4d17e
137f0df0	d511f180
137f0df0	e5790162
137f0df0	f823c43c
140c817e	c92b942c
150deff5	00d62c1b
150deff5	a3f84088
150deff5	e73095fd
15663ba9	6e02f1e3
15663ba9	a8d7556c
15696249	1c0d0a4b
178fcbfb	6430c8c4
17cae0c1	d631b094
184a9768	332efdb3
195ba7dc	39e1d7f9
19bb5feb	575b1a71
19bb5feb	c48954c1
1a2e2828	7e02026e
1a6449f1	b1fc8b8e
1acc24af	f9012d9b
1b2d62fb	09629e4f
1b2d62fb	15113be4
1b2d62fb	5daaa586
1bfc4729	8d5021e8
1bfc4729	d511f180
1c0d0a4b	2013d3e2
1c0d0a4b	7e0986d6
1c0d0a4b	beb8660c
1e0a9b12	692cd3b6
1e0a9b12	a87f7484
1e81d6f9	1cf80156
1f642eb9	c8b7cc0f
1fad071e	b0c4d837
1fad071e	be94b721
2013d3e2	0bb8deee
2013d3e2	8fbca751
2013d3e2	a2fd1cf0
2013d3e2	da2b0fe3
212895b5	6d58a25d
21f83797	9c56f360
21f83797	f5aa3634
2204b7a8	9def23fe
22eb0ac0	05a7bcf2
22eb0ac0	44d8ac46
22eb0ac0	e7639916
23b5c85d	49d1d64f
25094a63	4c4377d9
253bf280	23581191
253bf280	9565186b
25d487eb	6cf79266
25d8a9c8	575b1a71
25d8a9c8	68b67ca3
25d8a9c8	a416b8f3
25d8a9c8	c35c1b4c
25d8a9c8	e57337a4
25ff71a9	62c24649
25ff71a9	f15e1fac
2685904e	3b4c2228
2753e76c	7b6016b9
2753e76c	e57337a4
27a28665	ea32f347
281123b4	4612dd53
281123b4	8403a5d5
28bf18c6	54d9e175
28bf18c6	a9f96cdd
29623171	67a3c6ac
29700607	a699fb00
29c11459	0f63c0b9
29c11459	575b1a71
2b01abd0	0f63c0b9
2b01abd0	a1570a43
2bcee788	d19f7514
2c737e39	93b581b8
2dc579da	3618c87e
2dc579da	3b4c2228
2dc579da	45bbe264
2dc579da	e7639916
3194b014	845d6e51
